manager,from_quarter,to_quarter,nameOfIssuer,cusip,change,value_before_k,value_after_k
Meridian Peak Capital Management,2025Q2,2025Q3,Granite Semiconductor Co,H8BZP9SGM,ADD,14119,15726
Meridian Peak Capital Management,2025Q2,2025Q3,Zephyr Bioworks Inc,NTCB897L3,TRIM,8439,7307
Meridian Peak Capital Management,2025Q2,2025Q3,Solace Dynamics Group,45G3ZSWHA,ADD,10964,11501
Meridian Peak Capital Management,2025Q2,2025Q3,Quill Capital Inc,Q0XPTSR3I,TRIM,16965,16332
Meridian Peak Capital Management,2025Q2,2025Q3,Vertex Industries Co,58Y40VFQQ,TRIM,57965,53023
Meridian Peak Capital Management,2025Q2,2025Q3,Cirrus Foods Corp,E8W8D72U6,ADD,33585,38672
Meridian Peak Capital Management,2025Q2,2025Q3,Onyx Systems Co,40L5VMU6J,ADD,20090,23420
Meridian Peak Capital Management,2025Q2,2025Q3,Basalt Micro Co,7HUB74X8V,EXIT,33101,0
Meridian Peak Capital Management,2025Q2,2025Q3,Zephyr Materials Ltd,E1C310TAQ,TRIM,14803,13512
Meridian Peak Capital Management,2025Q2,2025Q3,Cirrus Foods Inc,Q2FZ82Q1R,ADD,4283,4986
Meridian Peak Capital Management,2025Q2,2025Q3,Cobalt Systems PLC,8PAB9DRB5,EXIT,30663,0
Meridian Peak Capital Management,2025Q2,2025Q3,Basalt Foods Ltd,ZACBZHNO7,EXIT,18593,0
Meridian Peak Capital Management,2025Q2,2025Q3,Lumen Semiconductor Ltd,J5LWL04EJ,ADD,5699,6702
Meridian Peak Capital Management,2025Q2,2025Q3,Sable Motors Group,98N7HFZ6G,ADD,32257,32926
Meridian Peak Capital Management,2025Q2,2025Q3,Fable Robotics PLC,LS4DT2K9F,TRIM,25258,22158
Meridian Peak Capital Management,2025Q2,2025Q3,Marlin Dynamics Ltd,DFMGFY63T,TRIM,12502,6112
Meridian Peak Capital Management,2025Q3,2025Q4,Cedar Energy Corp,7UJ27ZYBN,ADD,33241,35841
Meridian Peak Capital Management,2025Q3,2025Q4,Pinnacle Cloud Group,G2LFMHVKC,NEW,0,9203
Meridian Peak Capital Management,2025Q3,2025Q4,Lumen Motors Corp,SX386897R,ADD,10674,10884
Meridian Peak Capital Management,2025Q3,2025Q4,Onyx Semiconductor PLC,IFCSYZN91,NEW,0,24650
Meridian Peak Capital Management,2025Q3,2025Q4,Copper Systems PLC,WLU7MFX0U,TRIM,191389,102750
Meridian Peak Capital Management,2025Q3,2025Q4,Copper Robotics Inc,ZPO3B7PU8,TRIM,7592,7166
Meridian Peak Capital Management,2025Q3,2025Q4,Sable Systems Ltd,QPH9E29MS,EXIT,101857,0
Meridian Peak Capital Management,2025Q3,2025Q4,Vertex Health Co,7ZLEWKDCP,ADD,9918,11395
Meridian Peak Capital Management,2025Q3,2025Q4,Lumen Systems Corp,D78MFRF4F,ADD,6458,6763
Meridian Peak Capital Management,2025Q3,2025Q4,Aster Micro Group,FCGZIWI3B,ADD,543,590
Meridian Peak Capital Management,2025Q3,2025Q4,Bright Motors Group,OHU89X4E4,ADD,22789,23800
Meridian Peak Capital Management,2025Q3,2025Q4,Pinnacle Analytics Corp,CB79HC2Y8,TRIM,16094,7469
Meridian Peak Capital Management,2025Q3,2025Q4,Onyx Industries Inc,3HILY6I06,EXIT,10554,0
Meridian Peak Capital Management,2025Q3,2025Q4,Zephyr Materials Inc,C8PF5IU2U,TRIM,3337,2945
Meridian Peak Capital Management,2025Q3,2025Q4,Cobalt Micro PLC,DX9J3AVYW,ADD,8275,8747
Meridian Peak Capital Management,2025Q3,2025Q4,Vertex Logistics Corp,QA201U170,NEW,0,5754
Meridian Peak Capital Management,2025Q3,2025Q4,Nova Analytics Ltd,CS8KWJ20I,ADD,850,1455
Meridian Peak Capital Management,2025Q3,2025Q4,Cedar Industries Co,0C9QYEL4U,TRIM,239428,235354
Meridian Peak Capital Management,2025Q3,2025Q4,Onyx Holdings PLC,NQQULCQYB,TRIM,32073,30014
Meridian Peak Capital Management,2025Q3,2025Q4,Marlin Holdings Ltd,7M7E2CQWH,ADD,2180,2362
Meridian Peak Capital Management,2025Q3,2025Q4,Terra Analytics Corp,R4SQPR953,ADD,13557,31631
Meridian Peak Capital Management,2025Q3,2025Q4,Zephyr Systems Ltd,XBD3A04GE,EXIT,4777,0
Meridian Peak Capital Management,2025Q3,2025Q4,Halcyon Semiconductor Group,KIK6CQODD,EXIT,14916,0
Meridian Peak Capital Management,2025Q3,2025Q4,Onyx Therapeutics Group,5QDNT0U9N,ADD,750,790
Meridian Peak Capital Management,2025Q3,2025Q4,Terra Holdings Group,YP72EM277,ADD,20001,20967
Meridian Peak Capital Management,2025Q3,2025Q4,Quill Energy Inc,YTHF7R2UF,TRIM,3669,3361
Meridian Peak Capital Management,2025Q3,2025Q4,Pinnacle Semiconductor Group,MKJOTE8L8,EXIT,34487,0
Meridian Peak Capital Management,2025Q3,2025Q4,Sable Foods Co,L8SGBI2BF,TRIM,2545,2266
Meridian Peak Capital Management,2025Q3,2025Q4,Fable Cloud Group,CEFX3OILC,TRIM,2829,2730
Meridian Peak Capital Management,2025Q3,2025Q4,Quill Software Inc,7IBWMKW1Z,TRIM,5366,4969
Meridian Peak Capital Management,2025Q3,2025Q4,Vantage Systems Corp,Q8HXZ554L,TRIM,20264,6336
Meridian Peak Capital Management,2025Q3,2025Q4,Pinnacle Semiconductor Ltd,P4OJLBI2R,TRIM,5094,4797
Meridian Peak Capital Management,2025Q3,2025Q4,Granite Semiconductor Co,H8BZP9SGM,ADD,15726,17628
Meridian Peak Capital Management,2025Q3,2025Q4,Zephyr Bioworks Inc,NTCB897L3,TRIM,7307,6501
Meridian Peak Capital Management,2025Q3,2025Q4,Solace Dynamics Group,45G3ZSWHA,ADD,11501,12263
Meridian Peak Capital Management,2025Q3,2025Q4,Quill Capital Inc,Q0XPTSR3I,ADD,16332,18072
Meridian Peak Capital Management,2025Q3,2025Q4,Vertex Industries Co,58Y40VFQQ,TRIM,53023,15289
Meridian Peak Capital Management,2025Q3,2025Q4,Cirrus Foods Corp,E8W8D72U6,EXIT,38672,0
Meridian Peak Capital Management,2025Q3,2025Q4,Onyx Systems Co,40L5VMU6J,TRIM,23420,14051
Meridian Peak Capital Management,2025Q3,2025Q4,Zephyr Materials Ltd,E1C310TAQ,ADD,13512,15155
Meridian Peak Capital Management,2025Q3,2025Q4,Cirrus Foods Inc,Q2FZ82Q1R,TRIM,4986,4310
Meridian Peak Capital Management,2025Q3,2025Q4,Lumen Semiconductor Ltd,J5LWL04EJ,TRIM,6702,6551
Meridian Peak Capital Management,2025Q3,2025Q4,Sable Motors Group,98N7HFZ6G,ADD,32926,35109
Meridian Peak Capital Management,2025Q3,2025Q4,Fable Robotics PLC,LS4DT2K9F,ADD,22158,25573
Meridian Peak Capital Management,2025Q3,2025Q4,Marlin Dynamics Ltd,DFMGFY63T,TRIM,6112,5261
Northwind Asset Advisors,2025Q1,2025Q2,Cobalt Networks Co,BFSULBK0Y,ADD,147240,172164
Northwind Asset Advisors,2025Q1,2025Q2,Cedar Cloud Co,0V2RAUWKO,TRIM,26784,24958
Northwind Asset Advisors,2025Q1,2025Q2,Lumen Capital PLC,8P5RFATUI,EXIT,12083,0
Northwind Asset Advisors,2025Q1,2025Q2,Basalt Logistics Ltd,25AL8LPBJ,ADD,16663,19632
Northwind Asset Advisors,2025Q1,2025Q2,Cedar Capital Corp,OU9V9SJ3O,EXIT,33082,0
Northwind Asset Advisors,2025Q1,2025Q2,Drift Materials PLC,QYL68CQ8H,ADD,6999,16751
Northwind Asset Advisors,2025Q1,2025Q2,Cirrus Semiconductor Co,7XM4NDOGQ,ADD,573840,640322
Northwind Asset Advisors,2025Q1,2025Q2,Cedar Semiconductor PLC,FK9BU2QLH,TRIM,7387,2630
Northwind Asset Advisors,2025Q1,2025Q2,Lumen Dynamics Co,4WZWR44RU,TRIM,14073,12125
Northwind Asset Advisors,2025Q1,2025Q2,Aster Capital Ltd,GM9OWQIUI,TRIM,8142,6994
Northwind Asset Advisors,2025Q1,2025Q2,Pinnacle Dynamics Group,BDCS6Z5MT,ADD,3553,10312
Northwind Asset Advisors,2025Q1,2025Q2,Copper Therapeutics Co,121O34A54,TRIM,25886,24011
Northwind Asset Advisors,2025Q1,2025Q2,Terra Software Co,6JCMQNL6J,EXIT,30709,0
Northwind Asset Advisors,2025Q1,2025Q2,Bright Dynamics Corp,MOY5EPYRT,TRIM,39178,38435
Northwind Asset Advisors,2025Q1,2025Q2,Lumen Dynamics PLC,4C4OA26XD,TRIM,142066,36872
Northwind Asset Advisors,2025Q1,2025Q2,Terra Networks Inc,68FF3I2NU,TRIM,8912,8706
Northwind Asset Advisors,2025Q1,2025Q2,Lumen Analytics Inc,R33QYR5UR,TRIM,36729,33894
Northwind Asset Advisors,2025Q1,2025Q2,Cirrus Foods Group,2FH2AIV7C,TRIM,11297,10501
Northwind Asset Advisors,2025Q1,2025Q2,Marlin Systems Corp,PPRJ40A8E,TRIM,15587,15541
Northwind Asset Advisors,2025Q1,2025Q2,Onyx Industries Inc,3HILY6I06,ADD,7906,8965
Northwind Asset Advisors,2025Q1,2025Q2,Northwind Materials Corp,VOZZAJQ87,NEW,0,17796
Northwind Asset Advisors,2025Q1,2025Q2,Basalt Foods Inc,UEI8D5UO2,ADD,2525,2602
Northwind Asset Advisors,2025Q1,2025Q2,Pinnacle Networks Co,EI8Q3O527,TRIM,23939,9443
Northwind Asset Advisors,2025Q1,2025Q2,Vertex Logistics Corp,QA201U170,ADD,7717,22214
Northwind Asset Advisors,2025Q1,2025Q2,Quill Dynamics Group,OEY9RXAM2,ADD,11151,12454
Northwind Asset Advisors,2025Q1,2025Q2,Vertex Motors Ltd,GCAE6NEZ6,NEW,0,90158
Northwind Asset Advisors,2025Q1,2025Q2,Drift Energy Inc,I7BCKXGK9,ADD,78205,87697
Northwind Asset Advisors,2025Q1,2025Q2,Basalt Bioworks Co,0XT69521O,TRIM,5267,1794
Northwind Asset Advisors,2025Q1,2025Q2,Drift Semiconductor Co,ZZR3AN2IL,ADD,1111,3196
Northwind Asset Advisors,2025Q1,2025Q2,Onyx Micro PLC,7Q7AEEULM,TRIM,12041,2671
Northwind Asset Advisors,2025Q1,2025Q2,Cedar Networks Co,X1D6FIB00,ADD,16659,18807
Northwind Asset Advisors,2025Q1,2025Q2,Halcyon Semiconductor Group,KIK6CQODD,NEW,0,26355
Northwind Asset Advisors,2025Q1,2025Q2,Zephyr Analytics Group,YVB45CV9A,NEW,0,20904
Northwind Asset Advisors,2025Q1,2025Q2,Northwind Logistics Corp,0HF9LLBFC,NEW,0,23717
Northwind Asset Advisors,2025Q1,2025Q2,Cirrus Networks Co,JRXX7YK3A,ADD,172769,472995
Northwind Asset Advisors,2025Q1,2025Q2,Drift Therapeutics Ltd,MTI160IJI,TRIM,200593,172110
Northwind Asset Advisors,2025Q1,2025Q2,Northwind Robotics Group,NHVTP6UTQ,ADD,11442,12598
Northwind Asset Advisors,2025Q1,2025Q2,Vertex Motors Co,CQ4Q57KND,ADD,5650,6292
Northwind Asset Advisors,2025Q1,2025Q2,Vantage Holdings Co,LJMZC1CNS,ADD,39168,40456
Northwind Asset Advisors,2025Q1,2025Q2,Sable Bioworks Group,7RMBP4DA0,ADD,8338,8511
Northwind Asset Advisors,2025Q1,2025Q2,Sable Materials Inc,6JJK2N4A4,TRIM,26513,23192
Northwind Asset Advisors,2025Q1,2025Q2,Drift Foods Corp,8YLXDWE0W,ADD,80464,162659
Northwind Asset Advisors,2025Q1,2025Q2,Quill Software Inc,7IBWMKW1Z,TRIM,13219,12205
Northwind Asset Advisors,2025Q1,2025Q2,Aster Systems Co,J5JS81O13,TRIM,13021,11505
Northwind Asset Advisors,2025Q1,2025Q2,Marlin Foods Inc,RR2OX0O49,ADD,11935,12523
Northwind Asset Advisors,2025Q1,2025Q2,Solace Industries Inc,DS48XETK8,ADD,7488,7858
Northwind Asset Advisors,2025Q1,2025Q2,Copper Networks Group,N8F4UV8KV,ADD,59877,64460
Northwind Asset Advisors,2025Q1,2025Q2,Terra Software Group,QYL7YY9U9,ADD,6106,6138
Northwind Asset Advisors,2025Q1,2025Q2,Granite Energy Ltd,HV083GB2L,ADD,8771,10065
Northwind Asset Advisors,2025Q1,2025Q2,Granite Cloud Corp,25U4255ZM,TRIM,142735,83921
Northwind Asset Advisors,2025Q1,2025Q2,Northwind Energy Corp,ZBHY23HFF,EXIT,44933,0
Northwind Asset Advisors,2025Q1,2025Q2,Onyx Holdings Inc,C1V9GMYC5,TRIM,7198,6785
Northwind Asset Advisors,2025Q1,2025Q2,Copper Energy Corp,H0S32HC3X,TRIM,60148,57769
Northwind Asset Advisors,2025Q1,2025Q2,Onyx Systems Co,40L5VMU6J,NEW,0,43731
Northwind Asset Advisors,2025Q1,2025Q2,Aster Software Group,0NV4BDY51,ADD,12922,13672
Northwind Asset Advisors,2025Q1,2025Q2,Cobalt Systems PLC,8PAB9DRB5,ADD,6170,6647
Northwind Asset Advisors,2025Q1,2025Q2,Fable Semiconductor Ltd,H91O4DQTS,NEW,0,57084
Northwind Asset Advisors,2025Q1,2025Q2,Copper Health Inc,T8U689KKB,EXIT,10273,0
Northwind Asset Advisors,2025Q1,2025Q2,Bright Robotics Corp,CO7S5W386,TRIM,16079,8364
Northwind Asset Advisors,2025Q1,2025Q2,Terra Logistics Inc,7M9RVE5TT,EXIT,34071,0
Northwind Asset Advisors,2025Q1,2025Q2,Cirrus Micro Inc,RLEM453PD,EXIT,35592,0
Northwind Asset Advisors,2025Q2,2025Q3,Cobalt Networks Co,BFSULBK0Y,TRIM,172164,63848
Northwind Asset Advisors,2025Q2,2025Q3,Cedar Cloud Co,0V2RAUWKO,TRIM,24958,24291
Northwind Asset Advisors,2025Q2,2025Q3,Cedar Energy Corp,7UJ27ZYBN,NEW,0,10241
Northwind Asset Advisors,2025Q2,2025Q3,Basalt Logistics Ltd,25AL8LPBJ,ADD,19632,52841
Northwind Asset Advisors,2025Q2,2025Q3,Drift Materials PLC,QYL68CQ8H,EXIT,16751,0
Northwind Asset Advisors,2025Q2,2025Q3,Cirrus Semiconductor Co,7XM4NDOGQ,TRIM,640322,566003
Northwind Asset Advisors,2025Q2,2025Q3,Vertex Therapeutics Inc,ED356RBI1,NEW,0,13982
Northwind Asset Advisors,2025Q2,2025Q3,Cedar Semiconductor PLC,FK9BU2QLH,TRIM,2630,2521
Northwind Asset Advisors,2025Q2,2025Q3,Copper Systems PLC,WLU7MFX0U,NEW,0,63663
Northwind Asset Advisors,2025Q2,2025Q3,Lumen Dynamics Co,4WZWR44RU,TRIM,12125,11373
Northwind Asset Advisors,2025Q2,2025Q3,Aster Capital Ltd,GM9OWQIUI,TRIM,6994,6124
Northwind Asset Advisors,2025Q2,2025Q3,Pinnacle Dynamics Group,BDCS6Z5MT,TRIM,10312,9260
Northwind Asset Advisors,2025Q2,2025Q3,Copper Therapeutics Co,121O34A54,TRIM,24011,13257
Northwind Asset Advisors,2025Q2,2025Q3,Bright Dynamics Corp,MOY5EPYRT,ADD,38435,68549
Northwind Asset Advisors,2025Q2,2025Q3,Aster Capital Corp,LO90S986F,NEW,0,7423
Northwind Asset Advisors,2025Q2,2025Q3,Lumen Dynamics PLC,4C4OA26XD,ADD,36872,42295
Northwind Asset Advisors,2025Q2,2025Q3,Terra Networks Inc,68FF3I2NU,TRIM,8706,7481
Northwind Asset Advisors,2025Q2,2025Q3,Lumen Analytics Inc,R33QYR5UR,ADD,33894,34166
Northwind Asset Advisors,2025Q2,2025Q3,Cirrus Foods Group,2FH2AIV7C,ADD,10501,11585
Northwind Asset Advisors,2025Q2,2025Q3,Marlin Systems Corp,PPRJ40A8E,TRIM,15541,13551
Northwind Asset Advisors,2025Q2,2025Q3,Onyx Industries Inc,3HILY6I06,ADD,8965,25879
Northwind Asset Advisors,2025Q2,2025Q3,Northwind Materials Corp,VOZZAJQ87,TRIM,17796,7555
Northwind Asset Advisors,2025Q2,2025Q3,Basalt Foods Inc,UEI8D5UO2,TRIM,2602,883
Northwind Asset Advisors,2025Q2,2025Q3,Pinnacle Networks Co,EI8Q3O527,TRIM,9443,9267
Northwind Asset Advisors,2025Q2,2025Q3,Vertex Logistics Corp,QA201U170,ADD,22214,24279
Northwind Asset Advisors,2025Q2,2025Q3,Quill Dynamics Group,OEY9RXAM2,TRIM,12454,11405
Northwind Asset Advisors,2025Q2,2025Q3,Vertex Motors Ltd,GCAE6NEZ6,TRIM,90158,80733
Northwind Asset Advisors,2025Q2,2025Q3,Drift Energy Inc,I7BCKXGK9,ADD,87697,89411
Northwind Asset Advisors,2025Q2,2025Q3,Quill Dynamics Corp,SFJ0WQ0FM,NEW,0,9572
Northwind Asset Advisors,2025Q2,2025Q3,Basalt Bioworks Co,0XT69521O,EXIT,1794,0
Northwind Asset Advisors,2025Q2,2025Q3,Drift Semiconductor Co,ZZR3AN2IL,ADD,3196,3291
Northwind Asset Advisors,2025Q2,2025Q3,Onyx Micro PLC,7Q7AEEULM,ADD,2671,2769
Northwind Asset Advisors,2025Q2,2025Q3,Cedar Networks Co,X1D6FIB00,EXIT,18807,0
Northwind Asset Advisors,2025Q2,2025Q3,Halcyon Semiconductor Group,KIK6CQODD,ADD,26355,27310
Northwind Asset Advisors,2025Q2,2025Q3,Zephyr Analytics Group,YVB45CV9A,ADD,20904,22314
Northwind Asset Advisors,2025Q2,2025Q3,Northwind Logistics Corp,0HF9LLBFC,ADD,23717,27945
Northwind Asset Advisors,2025Q2,2025Q3,Cirrus Networks Co,JRXX7YK3A,ADD,472995,511623
Northwind Asset Advisors,2025Q2,2025Q3,Drift Therapeutics Ltd,MTI160IJI,TRIM,172110,92393
Northwind Asset Advisors,2025Q2,2025Q3,Northwind Robotics Group,NHVTP6UTQ,ADD,12598,14224
Northwind Asset Advisors,2025Q2,2025Q3,Vertex Motors Co,CQ4Q57KND,ADD,6292,10196
Northwind Asset Advisors,2025Q2,2025Q3,Vantage Holdings Co,LJMZC1CNS,TRIM,40456,37099
Northwind Asset Advisors,2025Q2,2025Q3,Sable Bioworks Group,7RMBP4DA0,TRIM,8511,7735
Northwind Asset Advisors,2025Q2,2025Q3,Sable Materials Inc,6JJK2N4A4,TRIM,23192,9827
Northwind Asset Advisors,2025Q2,2025Q3,Drift Foods Corp,8YLXDWE0W,EXIT,162659,0
