manager,quarter,nameOfIssuer,titleOfClass,cusip,value_usd_thousands,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole
Meridian Peak Capital Management,2025Q1,Quill Analytics Co,COM,NU7IDBR4S,7340,17106,SH,SOLE,17106
Meridian Peak Capital Management,2025Q1,Quill Capital Inc,ADR,Q0XPTSR3I,18048,70073,SH,SOLE,70073
Meridian Peak Capital Management,2025Q1,Onyx Systems Co,ADR,40L5VMU6J,19451,62373,SH,SOLE,62373
Meridian Peak Capital Management,2025Q1,Quill Software Inc,CL A,7IBWMKW1Z,2297,7300,SH,SOLE,7300
Meridian Peak Capital Management,2025Q1,Zephyr Materials Inc,COM,C8PF5IU2U,2924,61897,SH,SOLE,61897
Meridian Peak Capital Management,2025Q1,Marlin Dynamics Ltd,COM,DFMGFY63T,13597,41189,SH,SOLE,41189
Meridian Peak Capital Management,2025Q1,Cobalt Micro PLC,CL A,DX9J3AVYW,20152,219736,SH,SOLE,219736
Meridian Peak Capital Management,2025Q1,Quill Energy Inc,CL A,YTHF7R2UF,3884,11494,SH,SOLE,11494
Meridian Peak Capital Management,2025Q1,Pinnacle Cloud Group,COM,G2LFMHVKC,10928,71016,SH,SOLE,71016
Meridian Peak Capital Management,2025Q1,Zephyr Bioworks Inc,COM,NTCB897L3,9613,150556,SH,SOLE,150556
Meridian Peak Capital Management,2025Q1,Onyx Therapeutics Group,COM,5QDNT0U9N,931,6462,SH,SOLE,6462
Meridian Peak Capital Management,2025Q1,Bright Motors Group,COM,OHU89X4E4,8149,18531,SH,SOLE,18531
Meridian Peak Capital Management,2025Q1,Cobalt Systems PLC,COM,8PAB9DRB5,30439,73292,SH,SOLE,73292
Meridian Peak Capital Management,2025Q1,Nova Analytics Ltd,COM,CS8KWJ20I,3932,9402,SH,SOLE,9402
Meridian Peak Capital Management,2025Q1,Copper Systems PLC,ADR,WLU7MFX0U,79729,249395,SH,SOLE,249395
Meridian Peak Capital Management,2025Q1,Lumen Semiconductor Ltd,CL A,J5LWL04EJ,6365,27098,SH,SOLE,27098
Meridian Peak Capital Management,2025Q1,Marlin Motors Corp,COM,DHXKXFMXK,20331,109607,SH,SOLE,109607
Meridian Peak Capital Management,2025Q1,Pinnacle Semiconductor Group,COM,MKJOTE8L8,32003,183503,SH,SOLE,183503
Meridian Peak Capital Management,2025Q1,Terra Analytics Corp,ADR,R4SQPR953,14988,128355,SH,SOLE,128355
Meridian Peak Capital Management,2025Q1,Basalt Micro Co,COM,7HUB74X8V,14509,153453,SH,SOLE,153453
Meridian Peak Capital Management,2025Q1,Vantage Systems Corp,COM,Q8HXZ554L,20888,221859,SH,SOLE,221859
Meridian Peak Capital Management,2025Q1,Halcyon Semiconductor Group,COM,KIK6CQODD,16665,72868,SH,SOLE,72868
Meridian Peak Capital Management,2025Q1,Cirrus Foods Corp,CL A,E8W8D72U6,31050,84083,SH,SOLE,84083
Meridian Peak Capital Management,2025Q1,Zephyr Materials Ltd,COM,E1C310TAQ,12629,29624,SH,SOLE,29624
Meridian Peak Capital Management,2025Q1,Solace Networks PLC,COM,E3610AXVL,24460,62284,SH,SOLE,62284
Meridian Peak Capital Management,2025Q1,Copper Robotics Inc,ADR,ZPO3B7PU8,6666,20305,SH,SOLE,20305
Meridian Peak Capital Management,2025Q1,Aster Micro Group,COM,FCGZIWI3B,4915,166610,SH,SOLE,166610
Meridian Peak Capital Management,2025Q1,Fable Cloud Group,CL A,CEFX3OILC,2283,7931,SH,SOLE,7931
Meridian Peak Capital Management,2025Q1,Nova Semiconductor Inc,CL A,FWJC2H0QN,6266,57135,SH,SOLE,57135
Meridian Peak Capital Management,2025Q2,Basalt Foods Ltd,COM,ZACBZHNO7,18593,251835,SH,SOLE,251835
Meridian Peak Capital Management,2025Q2,Cedar Industries Co,COM,0C9QYEL4U,250128,1551085,SH,SOLE,1551085
Meridian Peak Capital Management,2025Q2,Vertex Industries Co,COM,58Y40VFQQ,57965,173970,SH,SOLE,173970
Meridian Peak Capital Management,2025Q2,Cirrus Foods Inc,CL A,Q2FZ82Q1R,4283,10920,SH,SOLE,10920
Meridian Peak Capital Management,2025Q2,Marlin Holdings Ltd,CL A,7M7E2CQWH,2278,20785,SH,SOLE,20785
Meridian Peak Capital Management,2025Q2,Lumen Systems Corp,CL A,D78MFRF4F,6599,942714,SH,SOLE,942714
Meridian Peak Capital Management,2025Q2,Onyx Holdings PLC,CL A,NQQULCQYB,33942,76187,SH,SOLE,76187
Meridian Peak Capital Management,2025Q2,Sable Motors Group,ADR,98N7HFZ6G,32257,106161,SH,SOLE,106161
Meridian Peak Capital Management,2025Q2,Terra Holdings Group,ADR,YP72EM277,18388,150994,SH,SOLE,150994
Meridian Peak Capital Management,2025Q2,Granite Semiconductor Co,COM,H8BZP9SGM,14119,117112,SH,SOLE,117112
Meridian Peak Capital Management,2025Q2,Pinnacle Analytics Corp,COM,CB79HC2Y8,7206,23481,SH,SOLE,23481
Meridian Peak Capital Management,2025Q2,Vertex Health Co,CL A,7ZLEWKDCP,8585,79212,SH,SOLE,79212
Meridian Peak Capital Management,2025Q2,Zephyr Industries Co,COM,NTL2E1KTK,3356,18681,SH,SOLE,18681
Meridian Peak Capital Management,2025Q2,Pinnacle Semiconductor Ltd,COM,P4OJLBI2R,2377,26379,SH,SOLE,26379
Meridian Peak Capital Management,2025Q2,Quill Analytics Co,COM,NU7IDBR4S,6339,14773,SH,SOLE,14773
Meridian Peak Capital Management,2025Q2,Quill Capital Inc,ADR,Q0XPTSR3I,16965,65868,SH,SOLE,65868
Meridian Peak Capital Management,2025Q2,Onyx Systems Co,ADR,40L5VMU6J,20090,64422,SH,SOLE,64422
Meridian Peak Capital Management,2025Q2,Quill Software Inc,CL A,7IBWMKW1Z,5768,18332,SH,SOLE,18332
Meridian Peak Capital Management,2025Q2,Zephyr Materials Inc,COM,C8PF5IU2U,3018,63887,SH,SOLE,63887
Meridian Peak Capital Management,2025Q2,Marlin Dynamics Ltd,COM,DFMGFY63T,12502,37872,SH,SOLE,37872
Meridian Peak Capital Management,2025Q2,Cobalt Micro PLC,CL A,DX9J3AVYW,8156,88933,SH,SOLE,88933
Meridian Peak Capital Management,2025Q2,Quill Energy Inc,CL A,YTHF7R2UF,4115,12177,SH,SOLE,12177
Meridian Peak Capital Management,2025Q2,Zephyr Bioworks Inc,COM,NTCB897L3,8439,132169,SH,SOLE,132169
Meridian Peak Capital Management,2025Q2,Onyx Therapeutics Group,COM,5QDNT0U9N,792,5497,SH,SOLE,5497
Meridian Peak Capital Management,2025Q2,Bright Motors Group,COM,OHU89X4E4,7769,17667,SH,SOLE,17667
Meridian Peak Capital Management,2025Q2,Cobalt Systems PLC,COM,8PAB9DRB5,30663,73832,SH,SOLE,73832
Meridian Peak Capital Management,2025Q2,Nova Analytics Ltd,COM,CS8KWJ20I,3972,9498,SH,SOLE,9498
Meridian Peak Capital Management,2025Q2,Copper Systems PLC,ADR,WLU7MFX0U,89318,279389,SH,SOLE,279389
Meridian Peak Capital Management,2025Q2,Lumen Semiconductor Ltd,CL A,J5LWL04EJ,5699,24262,SH,SOLE,24262
Meridian Peak Capital Management,2025Q2,Pinnacle Semiconductor Group,COM,MKJOTE8L8,30548,175161,SH,SOLE,175161
Meridian Peak Capital Management,2025Q2,Terra Analytics Corp,ADR,R4SQPR953,14071,120502,SH,SOLE,120502
Meridian Peak Capital Management,2025Q2,Basalt Micro Co,COM,7HUB74X8V,33101,350090,SH,SOLE,350090
Meridian Peak Capital Management,2025Q2,Vantage Systems Corp,COM,Q8HXZ554L,20465,217366,SH,SOLE,217366
Meridian Peak Capital Management,2025Q2,Halcyon Semiconductor Group,COM,KIK6CQODD,14487,63345,SH,SOLE,63345
Meridian Peak Capital Management,2025Q2,Cirrus Foods Corp,CL A,E8W8D72U6,33585,90947,SH,SOLE,90947
Meridian Peak Capital Management,2025Q2,Zephyr Materials Ltd,COM,E1C310TAQ,14803,34724,SH,SOLE,34724
Meridian Peak Capital Management,2025Q2,Copper Robotics Inc,ADR,ZPO3B7PU8,7150,21780,SH,SOLE,21780
Meridian Peak Capital Management,2025Q2,Aster Micro Group,COM,FCGZIWI3B,1070,36271,SH,SOLE,36271
Meridian Peak Capital Management,2025Q2,Fable Cloud Group,CL A,CEFX3OILC,2622,9109,SH,SOLE,9109
Meridian Peak Capital Management,2025Q2,Fable Robotics PLC,COM,LS4DT2K9F,25258,59658,SH,SOLE,59658
Meridian Peak Capital Management,2025Q2,Solace Dynamics Group,COM,45G3ZSWHA,10964,599126,SH,SOLE,599126
Meridian Peak Capital Management,2025Q2,Sable Systems Ltd,COM,QPH9E29MS,96149,919294,SH,SOLE,919294
Meridian Peak Capital Management,2025Q2,Sable Foods Co,COM,L8SGBI2BF,2340,22878,SH,SOLE,22878
Meridian Peak Capital Management,2025Q2,Onyx Industries Inc,ADR,3HILY6I06,10365,196605,SH,SOLE,196605
Meridian Peak Capital Management,2025Q2,Drift Dynamics PLC,COM,5GYFQWLY6,4649,13670,SH,SOLE,13670
Meridian Peak Capital Management,2025Q3,Cedar Industries Co,COM,0C9QYEL4U,239428,1484733,SH,SOLE,1484733
Meridian Peak Capital Management,2025Q3,Vertex Industries Co,COM,58Y40VFQQ,53023,159137,SH,SOLE,159137
Meridian Peak Capital Management,2025Q3,Cirrus Foods Inc,CL A,Q2FZ82Q1R,4986,12712,SH,SOLE,12712
Meridian Peak Capital Management,2025Q3,Marlin Holdings Ltd,CL A,7M7E2CQWH,2180,19891,SH,SOLE,19891
Meridian Peak Capital Management,2025Q3,Lumen Systems Corp,CL A,D78MFRF4F,6458,922571,SH,SOLE,922571
Meridian Peak Capital Management,2025Q3,Onyx Holdings PLC,CL A,NQQULCQYB,32073,71992,SH,SOLE,71992
Meridian Peak Capital Management,2025Q3,Sable Motors Group,ADR,98N7HFZ6G,32926,108363,SH,SOLE,108363
Meridian Peak Capital Management,2025Q3,Terra Holdings Group,ADR,YP72EM277,20001,164239,SH,SOLE,164239
Meridian Peak Capital Management,2025Q3,Granite Semiconductor Co,COM,H8BZP9SGM,15726,130441,SH,SOLE,130441
Meridian Peak Capital Management,2025Q3,Pinnacle Analytics Corp,COM,CB79HC2Y8,16094,52444,SH,SOLE,52444
Meridian Peak Capital Management,2025Q3,Vertex Health Co,CL A,7ZLEWKDCP,9918,91511,SH,SOLE,91511
Meridian Peak Capital Management,2025Q3,Pinnacle Semiconductor Ltd,COM,P4OJLBI2R,5094,56531,SH,SOLE,56531
Meridian Peak Capital Management,2025Q3,Quill Capital Inc,ADR,Q0XPTSR3I,16332,63410,SH,SOLE,63410
Meridian Peak Capital Management,2025Q3,Onyx Systems Co,ADR,40L5VMU6J,23420,75100,SH,SOLE,75100
Meridian Peak Capital Management,2025Q3,Quill Software Inc,CL A,7IBWMKW1Z,5366,17054,SH,SOLE,17054
Meridian Peak Capital Management,2025Q3,Zephyr Materials Inc,COM,C8PF5IU2U,3337,70639,SH,SOLE,70639
Meridian Peak Capital Management,2025Q3,Marlin Dynamics Ltd,COM,DFMGFY63T,6112,18515,SH,SOLE,18515
Meridian Peak Capital Management,2025Q3,Cobalt Micro PLC,CL A,DX9J3AVYW,8275,90230,SH,SOLE,90230
Meridian Peak Capital Management,2025Q3,Quill Energy Inc,CL A,YTHF7R2UF,3669,10857,SH,SOLE,10857
Meridian Peak Capital Management,2025Q3,Zephyr Bioworks Inc,COM,NTCB897L3,7307,114440,SH,SOLE,114440
Meridian Peak Capital Management,2025Q3,Onyx Therapeutics Group,COM,5QDNT0U9N,750,5205,SH,SOLE,5205
Meridian Peak Capital Management,2025Q3,Bright Motors Group,COM,OHU89X4E4,22789,51824,SH,SOLE,51824
Meridian Peak Capital Management,2025Q3,Nova Analytics Ltd,COM,CS8KWJ20I,850,2033,SH,SOLE,2033
Meridian Peak Capital Management,2025Q3,Copper Systems PLC,ADR,WLU7MFX0U,191389,598671,SH,SOLE,598671
Meridian Peak Capital Management,2025Q3,Lumen Semiconductor Ltd,CL A,J5LWL04EJ,6702,28533,SH,SOLE,28533
Meridian Peak Capital Management,2025Q3,Pinnacle Semiconductor Group,COM,MKJOTE8L8,34487,197747,SH,SOLE,197747
Meridian Peak Capital Management,2025Q3,Terra Analytics Corp,ADR,R4SQPR953,13557,116100,SH,SOLE,116100
Meridian Peak Capital Management,2025Q3,Vantage Systems Corp,COM,Q8HXZ554L,20264,215231,SH,SOLE,215231
Meridian Peak Capital Management,2025Q3,Halcyon Semiconductor Group,COM,KIK6CQODD,14916,65221,SH,SOLE,65221
Meridian Peak Capital Management,2025Q3,Cirrus Foods Corp,CL A,E8W8D72U6,38672,104723,SH,SOLE,104723
Meridian Peak Capital Management,2025Q3,Zephyr Materials Ltd,COM,E1C310TAQ,13512,31695,SH,SOLE,31695
Meridian Peak Capital Management,2025Q3,Copper Robotics Inc,ADR,ZPO3B7PU8,7592,23126,SH,SOLE,23126
Meridian Peak Capital Management,2025Q3,Aster Micro Group,COM,FCGZIWI3B,543,18407,SH,SOLE,18407
Meridian Peak Capital Management,2025Q3,Fable Cloud Group,CL A,CEFX3OILC,2829,9828,SH,SOLE,9828
Meridian Peak Capital Management,2025Q3,Fable Robotics PLC,COM,LS4DT2K9F,22158,52336,SH,SOLE,52336
Meridian Peak Capital Management,2025Q3,Solace Dynamics Group,COM,45G3ZSWHA,11501,628470,SH,SOLE,628470
Meridian Peak Capital Management,2025Q3,Sable Systems Ltd,COM,QPH9E29MS,101857,973869,SH,SOLE,973869
Meridian Peak Capital Management,2025Q3,Sable Foods Co,COM,L8SGBI2BF,2545,24883,SH,SOLE,24883
Meridian Peak Capital Management,2025Q3,Onyx Industries Inc,ADR,3HILY6I06,10554,200190,SH,SOLE,200190
Meridian Peak Capital Management,2025Q3,Zephyr Systems Ltd,ADR,XBD3A04GE,4777,13773,SH,SOLE,13773
Meridian Peak Capital Management,2025Q3,Lumen Motors Corp,COM,SX386897R,10674,223539,SH,SOLE,223539
Meridian Peak Capital Management,2025Q3,Cedar Energy Corp,COM,7UJ27ZYBN,33241,239523,SH,SOLE,239523
Meridian Peak Capital Management,2025Q4,Cedar Industries Co,COM,0C9QYEL4U,235354,1459469,SH,SOLE,1459469
Meridian Peak Capital Management,2025Q4,Vertex Industries Co,COM,58Y40VFQQ,15289,45887,SH,SOLE,45887
Meridian Peak Capital Management,2025Q4,Cirrus Foods Inc,CL A,Q2FZ82Q1R,4310,10988,SH,SOLE,10988
Meridian Peak Capital Management,2025Q4,Marlin Holdings Ltd,CL A,7M7E2CQWH,2362,21551,SH,SOLE,21551
Meridian Peak Capital Management,2025Q4,Lumen Systems Corp,CL A,D78MFRF4F,6763,966143,SH,SOLE,966143
Meridian Peak Capital Management,2025Q4,Onyx Holdings PLC,CL A,NQQULCQYB,30014,67370,SH,SOLE,67370
Meridian Peak Capital Management,2025Q4,Sable Motors Group,ADR,98N7HFZ6G,35109,115547,SH,SOLE,115547
Meridian Peak Capital Management,2025Q4,Terra Holdings Group,ADR,YP72EM277,20967,172171,SH,SOLE,172171
Meridian Peak Capital Management,2025Q4,Granite Semiconductor Co,COM,H8BZP9SGM,17628,146218,SH,SOLE,146218
Meridian Peak Capital Management,2025Q4,Pinnacle Analytics Corp,COM,CB79HC2Y8,7469,24339,SH,SOLE,24339
Meridian Peak Capital Management,2025Q4,Vertex Health Co,CL A,7ZLEWKDCP,11395,105139,SH,SOLE,105139
Meridian Peak Capital Management,2025Q4,Pinnacle Semiconductor Ltd,COM,P4OJLBI2R,4797,53235,SH,SOLE,53235
Meridian Peak Capital Management,2025Q4,Quill Capital Inc,ADR,Q0XPTSR3I,18072,70166,SH,SOLE,70166
Meridian Peak Capital Management,2025Q4,Onyx Systems Co,ADR,40L5VMU6J,14051,45057,SH,SOLE,45057
Meridian Peak Capital Management,2025Q4,Quill Software Inc,CL A,7IBWMKW1Z,4969,15793,SH,SOLE,15793
Meridian Peak Capital Management,2025Q4,Zephyr Materials Inc,COM,C8PF5IU2U,2945,62341,SH,SOLE,62341
Meridian Peak Capital Management,2025Q4,Marlin Dynamics Ltd,COM,DFMGFY63T,5261,15937,SH,SOLE,15937
Meridian Peak Capital Management,2025Q4,Cobalt Micro PLC,CL A,DX9J3AVYW,8747,95377,SH,SOLE,95377
Meridian Peak Capital Management,2025Q4,Quill Energy Inc,CL A,YTHF7R2UF,3361,9946,SH,SOLE,9946
Meridian Peak Capital Management,2025Q4,Zephyr Bioworks Inc,COM,NTCB897L3,6501,101817,SH,SOLE,101817
Meridian Peak Capital Management,2025Q4,Onyx Therapeutics Group,COM,5QDNT0U9N,790,5483,SH,SOLE,5483
Meridian Peak Capital Management,2025Q4,Bright Motors Group,COM,OHU89X4E4,23800,54123,SH,SOLE,54123
Meridian Peak Capital Management,2025Q4,Nova Analytics Ltd,COM,CS8KWJ20I,1455,3479,SH,SOLE,3479
Meridian Peak Capital Management,2025Q4,Copper Systems PLC,ADR,WLU7MFX0U,102750,321405,SH,SOLE,321405
Meridian Peak Capital Management,2025Q4,Lumen Semiconductor Ltd,CL A,J5LWL04EJ,6551,27890,SH,SOLE,27890
Meridian Peak Capital Management,2025Q4,Terra Analytics Corp,ADR,R4SQPR953,31631,270883,SH,SOLE,270883
Meridian Peak Capital Management,2025Q4,Vantage Systems Corp,COM,Q8HXZ554L,6336,67297,SH,SOLE,67297
Meridian Peak Capital Management,2025Q4,Zephyr Materials Ltd,COM,E1C310TAQ,15155,35549,SH,SOLE,35549
Meridian Peak Capital Management,2025Q4,Copper Robotics Inc,ADR,ZPO3B7PU8,7166,21828,SH,SOLE,21828
Meridian Peak Capital Management,2025Q4,Aster Micro Group,COM,FCGZIWI3B,590,20000,SH,SOLE,20000
Meridian Peak Capital Management,2025Q4,Fable Cloud Group,CL A,CEFX3OILC,2730,9484,SH,SOLE,9484
Meridian Peak Capital Management,2025Q4,Fable Robotics PLC,COM,LS4DT2K9F,25573,60402,SH,SOLE,60402
Meridian Peak Capital Management,2025Q4,Solace Dynamics Group,COM,45G3ZSWHA,12263,670109,SH,SOLE,670109
Meridian Peak Capital Management,2025Q4,Sable Foods Co,COM,L8SGBI2BF,2266,22155,SH,SOLE,22155
Meridian Peak Capital Management,2025Q4,Lumen Motors Corp,COM,SX386897R,10884,227937,SH,SOLE,227937
Meridian Peak Capital Management,2025Q4,Cedar Energy Corp,COM,7UJ27ZYBN,35841,258258,SH,SOLE,258258
Meridian Peak Capital Management,2025Q4,Vertex Logistics Corp,ADR,QA201U170,5754,27875,SH,SOLE,27875
Meridian Peak Capital Management,2025Q4,Pinnacle Cloud Group,COM,G2LFMHVKC,9203,59806,SH,SOLE,59806
Meridian Peak Capital Management,2025Q4,Onyx Semiconductor PLC,COM,IFCSYZN91,24650,284183,SH,SOLE,284183
Northwind Asset Advisors,2025Q1,Lumen Analytics Inc,COM,R33QYR5UR,36729,83783,SH,SOLE,83783
Northwind Asset Advisors,2025Q1,Pinnacle Networks Co,CL A,EI8Q3O527,23939,60923,SH,SOLE,60923
Northwind Asset Advisors,2025Q1,Vertex Motors Co,CL A,CQ4Q57KND,5650,46560,SH,SOLE,46560
Northwind Asset Advisors,2025Q1,Onyx Holdings Inc,ADR,C1V9GMYC5,7198,24104,SH,SOLE,24104
Northwind Asset Advisors,2025Q1,Onyx Industries Inc,ADR,3HILY6I06,7906,149962,SH,SOLE,149962
Northwind Asset Advisors,2025Q1,Marlin Foods Inc,COM,RR2OX0O49,11935,858633,SH,SOLE,858633
Northwind Asset Advisors,2025Q1,Aster Software Group,COM,0NV4BDY51,12922,74980,SH,SOLE,74980
Northwind Asset Advisors,2025Q1,Drift Energy Inc,COM,I7BCKXGK9,78205,327945,SH,SOLE,327945
Northwind Asset Advisors,2025Q1,Basalt Foods Inc,CL A,UEI8D5UO2,2525,5453,SH,SOLE,5453
Northwind Asset Advisors,2025Q1,Aster Capital Ltd,ADR,GM9OWQIUI,8142,41336,SH,SOLE,41336
Northwind Asset Advisors,2025Q1,Quill Software Inc,CL A,7IBWMKW1Z,13219,42013,SH,SOLE,42013
Northwind Asset Advisors,2025Q1,Cirrus Foods Group,COM,2FH2AIV7C,11297,36493,SH,SOLE,36493
Northwind Asset Advisors,2025Q1,Cedar Networks Co,COM,X1D6FIB00,16659,52697,SH,SOLE,52697
Northwind Asset Advisors,2025Q1,Cedar Capital Corp,ADR,OU9V9SJ3O,33082,118705,SH,SOLE,118705
Northwind Asset Advisors,2025Q1,Lumen Capital PLC,COM,8P5RFATUI,12083,25362,SH,SOLE,25362
Northwind Asset Advisors,2025Q1,Cirrus Networks Co,COM,JRXX7YK3A,172769,468793,SH,SOLE,468793
Northwind Asset Advisors,2025Q1,Drift Semiconductor Co,COM,ZZR3AN2IL,1111,5835,SH,SOLE,5835
Northwind Asset Advisors,2025Q1,Sable Materials Inc,COM,6JJK2N4A4,26513,88705,SH,SOLE,88705
Northwind Asset Advisors,2025Q1,Copper Therapeutics Co,COM,121O34A54,25886,109053,SH,SOLE,109053
Northwind Asset Advisors,2025Q1,Cedar Semiconductor PLC,ADR,FK9BU2QLH,7387,16895,SH,SOLE,16895
Northwind Asset Advisors,2025Q1,Terra Networks Inc,ADR,68FF3I2NU,8912,213974,SH,SOLE,213974
Northwind Asset Advisors,2025Q1,Northwind Energy Corp,CL A,ZBHY23HFF,44933,258563,SH,SOLE,258563
Northwind Asset Advisors,2025Q1,Basalt Bioworks Co,ADR,0XT69521O,5267,23746,SH,SOLE,23746
Northwind Asset Advisors,2025Q1,Copper Energy Corp,COM,H0S32HC3X,60148,1021709,SH,SOLE,1021709
Northwind Asset Advisors,2025Q1,Northwind Robotics Group,COM,NHVTP6UTQ,11442,47717,SH,SOLE,47717
Northwind Asset Advisors,2025Q1,Vantage Holdings Co,CL A,LJMZC1CNS,39168,326727,SH,SOLE,326727
Northwind Asset Advisors,2025Q1,Pinnacle Dynamics Group,ADR,BDCS6Z5MT,3553,9988,SH,SOLE,9988
Northwind Asset Advisors,2025Q1,Lumen Dynamics Co,CL A,4WZWR44RU,14073,45289,SH,SOLE,45289
Northwind Asset Advisors,2025Q1,Copper Health Inc,CL A,T8U689KKB,10273,29985,SH,SOLE,29985
Northwind Asset Advisors,2025Q1,Cirrus Micro Inc,CL A,RLEM453PD,35592,592706,SH,SOLE,592706
Northwind Asset Advisors,2025Q1,Drift Foods Corp,ADR,8YLXDWE0W,80464,337191,SH,SOLE,337191
Northwind Asset Advisors,2025Q1,Sable Bioworks Group,COM,7RMBP4DA0,8338,218215,SH,SOLE,218215
Northwind Asset Advisors,2025Q1,Drift Materials PLC,COM,QYL68CQ8H,6999,594143,SH,SOLE,594143
Northwind Asset Advisors,2025Q1,Terra Software Co,CL A,6JCMQNL6J,30709,470708,SH,SOLE,470708
Northwind Asset Advisors,2025Q1,Bright Dynamics Corp,COM,MOY5EPYRT,39178,180827,SH,SOLE,180827
Northwind Asset Advisors,2025Q1,Cobalt Systems PLC,COM,8PAB9DRB5,6170,14856,SH,SOLE,14856
Northwind Asset Advisors,2025Q1,Terra Logistics Inc,COM,7M9RVE5TT,34071,73691,SH,SOLE,73691
Northwind Asset Advisors,2025Q1,Vertex Logistics Corp,ADR,QA201U170,7717,37385,SH,SOLE,37385
Northwind Asset Advisors,2025Q1,Aster Systems Co,COM,J5JS81O13,13021,36759,SH,SOLE,36759
Northwind Asset Advisors,2025Q1,Granite Energy Ltd,ADR,HV083GB2L,8771,106690,SH,SOLE,106690
Northwind Asset Advisors,2025Q1,Onyx Micro PLC,CL A,7Q7AEEULM,12041,55619,SH,SOLE,55619
Northwind Asset Advisors,2025Q1,Cobalt Networks Co,COM,BFSULBK0Y,147240,6477783,SH,SOLE,6477783
Northwind Asset Advisors,2025Q1,Marlin Systems Corp,COM,PPRJ40A8E,15587,214993,SH,SOLE,214993
Northwind Asset Advisors,2025Q1,Copper Networks Group,CL A,N8F4UV8KV,59877,191081,SH,SOLE,191081
Northwind Asset Advisors,2025Q1,Cirrus Semiconductor Co,COM,7XM4NDOGQ,573840,3398519,SH,SOLE,3398519
Northwind Asset Advisors,2025Q1,Quill Dynamics Group,ADR,OEY9RXAM2,11151,108907,SH,SOLE,108907
Northwind Asset Advisors,2025Q1,Terra Software Group,COM,QYL7YY9U9,6106,13095,SH,SOLE,13095
Northwind Asset Advisors,2025Q1,Granite Cloud Corp,ADR,25U4255ZM,142735,388226,SH,SOLE,388226
Northwind Asset Advisors,2025Q1,Bright Robotics Corp,COM,CO7S5W386,16079,36968,SH,SOLE,36968
Northwind Asset Advisors,2025Q1,Solace Industries Inc,COM,DS48XETK8,7488,18257,SH,SOLE,18257
Northwind Asset Advisors,2025Q1,Basalt Logistics Ltd,CL A,25AL8LPBJ,16663,35855,SH,SOLE,35855
Northwind Asset Advisors,2025Q1,Drift Therapeutics Ltd,COM,MTI160IJI,200593,1979601,SH,SOLE,1979601
Northwind Asset Advisors,2025Q1,Lumen Dynamics PLC,CL A,4C4OA26XD,142066,21590578,SH,SOLE,21590578
Northwind Asset Advisors,2025Q1,Cedar Cloud Co,CL A,0V2RAUWKO,26784,451822,SH,SOLE,451822
Northwind Asset Advisors,2025Q2,Lumen Analytics Inc,COM,R33QYR5UR,33894,77316,SH,SOLE,77316
Northwind Asset Advisors,2025Q2,Pinnacle Networks Co,CL A,EI8Q3O527,9443,24032,SH,SOLE,24032
Northwind Asset Advisors,2025Q2,Vertex Motors Co,CL A,CQ4Q57KND,6292,51850,SH,SOLE,51850
Northwind Asset Advisors,2025Q2,Onyx Holdings Inc,ADR,C1V9GMYC5,6785,22721,SH,SOLE,22721
Northwind Asset Advisors,2025Q2,Onyx Industries Inc,ADR,3HILY6I06,8965,170049,SH,SOLE,170049
